timestamp,elapsed_time,pos_x,pos_y,pos_z,error_x,error_y,roll_ref_rad,pitch_ref_rad,roll_ref_deg,pitch_ref_deg,pid_x_p,pid_x_i,pid_x_d,pid_y_p,pid_y_i,pid_y_d,frame_number,marker_count,send_success,control_active,loop_time_ms
2025-09-26T14:54:10.447256,1.0811,-0.039523,0.005291,0.022290,0.039523,-0.005291,0.008380,0.001145,0.480,0.066,0.007905,0.000463,0.000012,0.001058,0.000062,0.000025,37840,2,1,1,0.18
2025-09-26T14:54:10.457733,1.0916,-0.039508,0.005281,0.022290,0.039508,-0.005281,0.008346,0.001100,0.478,0.063,0.007902,0.000472,-0.000027,0.001056,0.000063,-0.000019,37841,2,1,1,0.14
2025-09-26T14:54:10.468333,1.1022,-0.039586,0.005280,0.022324,0.039586,-0.005280,0.008544,0.001120,0.490,0.064,0.007917,0.000480,0.000146,0.001056,0.000064,-0.000001,37842,2,1,1,0.21
2025-09-26T14:54:10.478679,1.1126,-0.039522,0.005273,0.022297,0.039522,-0.005273,0.008271,0.001105,0.474,0.063,0.007904,0.000488,-0.000122,0.001055,0.000065,-0.000015,37843,2,1,1,0.17
2025-09-26T14:54:10.489229,1.1231,-0.039585,0.005270,0.022332,0.039585,-0.005270,0.008532,0.001115,0.489,0.064,0.007917,0.000496,0.000119,0.001054,0.000066,-0.000005,37844,2,1,1,0.19
2025-09-26T14:54:10.499852,1.1337,-0.039515,0.005281,0.022296,0.039515,-0.005281,0.008276,0.001144,0.474,0.066,0.007903,0.000505,-0.000132,0.001056,0.000067,0.000020,37845,2,1,1,0.22
2025-09-26T14:54:10.510205,1.1441,-0.039556,0.005273,0.022329,0.039556,-0.005273,0.008502,0.001108,0.487,0.063,0.007911,0.000513,0.000078,0.001055,0.000069,-0.000015,37846,2,1,1,0.15
2025-09-26T14:54:10.520405,1.1543,-0.039510,0.005265,0.022299,0.039510,-0.005265,0.008331,0.001108,0.477,0.063,0.007902,0.000521,-0.000092,0.001053,0.000070,-0.000015,37847,2,1,1,0.28
2025-09-26T14:54:10.530845,1.1647,-0.039508,0.005270,0.022298,0.039508,-0.005270,0.008428,0.001135,0.483,0.065,0.007902,0.000529,-0.000003,0.001054,0.000071,0.000010,37848,2,1,1,0.18
2025-09-26T14:54:10.541218,1.1751,-0.039545,0.005308,0.022303,0.039545,-0.005308,0.008519,0.001206,0.488,0.069,0.007909,0.000538,0.000072,0.001062,0.000072,0.000072,37849,2,1,1,0.18
2025-09-26T14:54:10.551704,1.1856,-0.039548,0.005328,0.022317,0.039548,-0.005328,0.008460,0.001176,0.485,0.067,0.007910,0.000546,0.000005,0.001066,0.000073,0.000037,37850,2,1,1,0.17
2025-09-26T14:54:10.562332,1.1962,-0.039568,0.005393,0.022293,0.039568,-0.005393,0.008505,0.001276,0.487,0.073,0.007914,0.000554,0.000037,0.001079,0.000074,0.000124,37851,2,1,1,0.16
2025-09-26T14:54:10.572785,1.2067,-0.039616,0.005440,0.022312,0.039616,-0.005440,0.008579,0.001254,0.492,0.072,0.007923,0.000563,0.000093,0.001088,0.000075,0.000090,37852,2,1,1,0.18
2025-09-26T14:54:10.583273,1.2172,-0.039670,0.005489,0.022321,0.039670,-0.005489,0.008607,0.001266,0.493,0.073,0.007934,0.000571,0.000102,0.001098,0.000076,0.000092,37853,2,1,1,0.15
2025-09-26T14:54:10.650258,1.2841,-0.039605,0.005580,0.022273,0.039605,-0.005580,0.008525,0.001227,0.488,0.070,0.007921,0.000624,-0.000020,0.001116,0.000084,0.000027,37860,2,1,1,0.20
2025-09-26T14:54:10.660395,1.2943,-0.039716,0.005613,0.022356,0.039716,-0.005613,0.008794,0.001272,0.504,0.073,0.007943,0.000632,0.000219,0.001123,0.000085,0.000065,37861,2,1,1,0.17
2025-09-26T14:54:10.671010,1.3049,-0.039678,0.005634,0.022292,0.039678,-0.005634,0.008502,0.001253,0.487,0.072,0.007936,0.000640,-0.000073,0.001127,0.000086,0.000040,37862,2,1,1,0.27
2025-09-26T14:54:10.681416,1.3153,-0.039680,0.005667,0.022311,0.039680,-0.005667,0.008589,0.001284,0.492,0.074,0.007936,0.000649,0.000004,0.001133,0.000087,0.000063,37863,2,1,1,0.22
2025-09-26T14:54:10.691428,1.3253,-0.039780,0.005712,0.022349,0.039780,-0.005712,0.008812,0.001321,0.505,0.076,0.007956,0.000657,0.000200,0.001142,0.000089,0.000090,37864,2,1,1,0.17
2025-09-26T14:54:10.702335,1.3362,-0.039711,0.005688,0.022252,0.039711,-0.005688,0.008476,0.001183,0.486,0.068,0.007942,0.000665,-0.000132,0.001138,0.000090,-0.000044,37865,2,1,1,0.51
2025-09-26T14:54:10.712455,1.3463,-0.039727,0.005629,0.022307,0.039727,-0.005629,0.008650,0.001103,0.496,0.063,0.007945,0.000673,0.000031,0.001126,0.000091,-0.000113,37866,2,1,1,0.16
2025-09-26T14:54:10.722959,1.3568,-0.039785,0.005488,0.022303,0.039785,-0.005488,0.008750,0.000921,0.501,0.053,0.007957,0.000682,0.000111,0.001098,0.000092,-0.000269,37867,2,1,1,0.16
2025-09-26T14:54:10.733857,1.3677,-0.039713,0.005412,0.022251,0.039713,-0.005412,0.008497,0.001032,0.487,0.059,0.007943,0.000690,-0.000135,0.001082,0.000093,-0.000143,37868,2,1,1,0.45
2025-09-26T14:54:10.743835,1.3777,-0.039723,0.005393,0.022320,0.039723,-0.005393,0.008661,0.001136,0.496,0.065,0.007945,0.000698,0.000019,0.001079,0.000094,-0.000037,37869,2,1,1,0.16
2025-09-26T14:54:10.754388,1.3883,-0.039745,0.005319,0.022253,0.039745,-0.005319,0.008699,0.001020,0.498,0.058,0.007949,0.000707,0.000043,0.001064,0.000095,-0.000139,37870,2,1,1,0.21
2025-09-26T14:54:10.764900,1.3988,-0.039617,0.005338,0.022311,0.039617,-0.005338,0.008395,0.001199,0.481,0.069,0.007923,0.000715,-0.000243,0.001068,0.000097,0.000035,37872,2,1,1,0.12
2025-09-26T14:54:10.775317,1.4092,-0.039617,0.005330,0.022293,0.039617,-0.005330,0.008648,0.001150,0.495,0.066,0.007923,0.000723,0.000001,0.001066,0.000098,-0.000014,37873,2,1,1,0.14
2025-09-26T14:54:10.785809,1.4197,-0.039492,0.005368,0.022314,0.039492,-0.005368,0.008391,0.001243,0.481,0.071,0.007898,0.000732,-0.000239,0.001074,0.000099,0.000071,37874,2,1,1,0.14
2025-09-26T14:54:10.796172,1.4301,-0.039553,0.005372,0.022320,0.039553,-0.005372,0.008768,0.001184,0.502,0.068,0.007911,0.000740,0.000118,0.001074,0.000100,0.000009,37875,2,1,1,0.12
2025-09-26T14:54:10.806226,1.4401,-0.039549,0.005356,0.022322,0.039549,-0.005356,0.008649,0.001139,0.496,0.065,0.007910,0.000748,-0.000008,0.001071,0.000101,-0.000033,37876,2,1,1,0.13
2025-09-26T14:54:10.816263,1.4501,-0.039476,0.005370,0.022303,0.039476,-0.005370,0.008506,0.001204,0.487,0.069,0.007895,0.000756,-0.000145,0.001074,0.000102,0.000028,37877,2,1,1,0.13
2025-09-26T14:54:10.826835,1.4607,-0.039567,0.005292,0.022310,0.039567,-0.005292,0.008850,0.001015,0.507,0.058,0.007913,0.000764,0.000173,0.001058,0.000103,-0.000147,37878,2,1,1,0.20
2025-09-26T14:54:10.837205,1.4711,-0.039530,0.005231,0.022313,0.039530,-0.005231,0.008607,0.001032,0.493,0.059,0.007906,0.000772,-0.000071,0.001046,0.000104,-0.000119,37879,2,1,1,0.18
2025-09-26T14:54:10.847588,1.4815,-0.039437,0.005186,0.022327,0.039437,-0.005186,0.008490,0.001057,0.486,0.061,0.007887,0.000780,-0.000178,0.001037,0.000105,-0.000085,37880,2,1,1,0.11
2025-09-26T14:54:10.858252,1.4921,-0.039488,0.005096,0.022374,0.039488,-0.005096,0.008783,0.000955,0.503,0.055,0.007898,0.000789,0.000097,0.001019,0.000106,-0.000171,37881,2,1,1,0.18
2025-09-26T14:54:10.868634,1.5025,-0.039473,0.004992,0.022342,0.039473,-0.004992,0.008661,0.000905,0.496,0.052,0.007895,0.000797,-0.000030,0.000998,0.000107,-0.000201,37882,2,1,1,0.18
2025-09-26T14:54:10.879132,1.5130,-0.039290,0.004973,0.022357,0.039290,-0.004973,0.008316,0.001068,0.476,0.061,0.007858,0.000805,-0.000347,0.000995,0.000109,-0.000035,37883,2,1,1,0.14
2025-09-26T14:54:10.889381,1.5233,-0.039325,0.004800,0.022398,0.039325,-0.004800,0.008748,0.000730,0.501,0.042,0.007865,0.000813,0.000070,0.000960,0.000110,-0.000339,37884,2,1,1,0.17
2025-09-26T14:54:10.899908,1.5338,-0.039248,0.004678,0.022331,0.039248,-0.004678,0.008525,0.000815,0.488,0.047,0.007850,0.000822,-0.000146,0.000936,0.000110,-0.000231,37885,2,1,1,0.16
2025-09-26T14:54:10.909952,1.5438,-0.039051,0.004643,0.022303,0.039051,-0.004643,0.008248,0.000970,0.473,0.056,0.007810,0.000829,-0.000392,0.000929,0.000111,-0.000070,37886,2,1,1,0.14
2025-09-26T14:54:10.920434,1.5543,-0.039024,0.004514,0.022345,0.039024,-0.004514,0.008589,0.000770,0.492,0.044,0.007805,0.000838,-0.000053,0.000903,0.000112,-0.000245,37887,2,1,1,0.13
2025-09-26T14:54:10.930584,1.5645,-0.038970,0.004447,0.022342,0.038970,-0.004447,0.008535,0.000869,0.489,0.050,0.007794,0.000845,-0.000105,0.000889,0.000113,-0.000134,37888,2,1,1,0.16
2025-09-26T14:54:10.941057,1.5749,-0.038676,0.004331,0.022320,0.038676,-0.004331,0.008029,0.000760,0.460,0.044,0.007735,0.000854,-0.000560,0.000866,0.000114,-0.000221,37889,2,1,1,0.12
2025-09-26T14:54:10.951230,1.5851,-0.038691,0.004131,0.022360,0.038691,-0.004131,0.008629,0.000548,0.494,0.031,0.007738,0.000861,0.000029,0.000826,0.000115,-0.000394,37890,2,1,1,0.19
2025-09-26T14:54:10.961286,1.5952,-0.038511,0.004052,0.022393,0.038511,-0.004052,0.008215,0.000768,0.471,0.044,0.007702,0.000869,-0.000356,0.000810,0.000116,-0.000158,37891,2,1,1,0.15
2025-09-26T14:54:10.971841,1.6057,-0.038266,0.003938,0.022406,0.038266,-0.003938,0.008066,0.000690,0.462,0.040,0.007653,0.000877,-0.000464,0.000788,0.000117,-0.000215,37892,2,1,1,0.16
2025-09-26T14:54:10.982290,1.6162,-0.038213,0.003743,0.022417,0.038213,-0.003743,0.008426,0.000490,0.483,0.028,0.007643,0.000885,-0.000102,0.000749,0.000117,-0.000376,37893,2,1,1,0.17
2025-09-26T14:54:10.992655,1.6265,-0.038029,0.003585,0.022407,0.038029,-0.003585,0.008143,0.000532,0.467,0.030,0.007606,0.000893,-0.000356,0.000717,0.000118,-0.000303,37894,2,1,1,0.17
2025-09-26T14:54:11.003226,1.6371,-0.037841,0.003377,0.022445,0.037841,-0.003377,0.008112,0.000397,0.465,0.023,0.007568,0.000901,-0.000357,0.000675,0.000119,-0.000397,37895,2,1,1,0.23
2025-09-26T14:54:11.013307,1.6472,-0.037786,0.003137,0.022503,0.037786,-0.003137,0.008357,0.000273,0.479,0.016,0.007557,0.000909,-0.000109,0.000627,0.000120,-0.000474,37896,2,1,1,0.19
2025-09-26T14:54:11.023633,1.6575,-0.037627,0.002972,0.022662,0.037627,-0.002972,0.008136,0.000398,0.466,0.023,0.007525,0.000917,-0.000306,0.000594,0.000120,-0.000317,37897,2,1,1,0.14
2025-09-26T14:54:11.033959,1.6678,-0.037431,0.002731,0.022855,0.037431,-0.002731,0.008028,0.000198,0.460,0.011,0.007486,0.000924,-0.000383,0.000546,0.000121,-0.000469,37898,2,1,1,0.19
